Entity,Code,Year,‘cost of basic needs’ approach - number above poverty line,525240-annotations,‘cost of basic needs’ approach - number below poverty line,525235-annotations
East Asia,,1820,96224289,,332152711,
East Asia,,1821,96571939,,334566061,
East Asia,,1822,96919804,,336997196,
East Asia,,1823,97268550,,339448450,
East Asia,,1824,97617687,,341918313,
East Asia,,1825,97967571,,344407429,
East Asia,,1826,98317561,,346915438,
East Asia,,1827,98668033,,349442967,
East Asia,,1828,99019440,,351992560,
East Asia,,1829,99370974,,354560026,
East Asia,,1830,99722853,,357147147,
East Asia,,1831,99457407,,357761593,
East Asia,,1832,99191219,,358375781,
East Asia,,1833,98924957,,358992043,
East Asia,,1834,98657539,,359607461,
East Asia,,1835,98390223,,360224777,
East Asia,,1836,98122380,,360842620,
East Asia,,1837,97853848,,361461152,
East Asia,,1838,97585162,,362080838,
East Asia,,1839,97315786,,362701215,
East Asia,,1840,97045638,,363320362,
East Asia,,1841,96706654,,363711346,
East Asia,,1842,96367141,,364099859,
East Asia,,1843,96027371,,364488629,
East Asia,,1844,95688120,,364878880,
East Asia,,1845,95348402,,365268598,
East Asia,,1846,95008563,,365657438,
East Asia,,1847,94668893,,366048106,
East Asia,,1848,94328917,,366437083,
East Asia,,1849,93988886,,366827114,
East Asia,,1850,93648980,,367218020,
East Asia,,1851,92940419,,364427581,
East Asia,,1852,92237769,,361665231,
East Asia,,1853,91541204,,358929797,
East Asia,,1854,90849758,,356220242,
East Asia,,1855,90164053,,353536947,
East Asia,,1856,89484038,,350878962,
East Asia,,1857,88809447,,348248553,
East Asia,,1858,88140163,,345640837,
East Asia,,1859,87476302,,343060698,
East Asia,,1860,86817987,,340504013,
East Asia,,1861,86476430,,339049570,
East Asia,,1862,86135997,,337604003,
East Asia,,1863,85797272,,336166728,
East Asia,,1864,85460311,,334739688,
East Asia,,1865,85124466,,333319535,
East Asia,,1866,84790361,,331908639,
East Asia,,1867,84457637,,330507363,
East Asia,,1868,84126450,,329113550,
East Asia,,1869,83797041,,327730958,
East Asia,,1870,83468775,,326354225,
East Asia,,1871,84145716,,326903284,
East Asia,,1872,84820785,,327455215,
East Asia,,1873,85504158,,328002842,
East Asia,,1874,86189612,,328505388,
East Asia,,1875,87075253,,328847747,
East Asia,,1876,87649069,,329578931,
East Asia,,1877,88402675,,330159325,
East Asia,,1878,89048270,,330845730,
East Asia,,1879,89914539,,331258461,
East Asia,,1880,90730099,,331729901,
East Asia,,1881,91307807,,332668193,
East Asia,,1882,92111265,,333379735,
East Asia,,1883,92695897,,334365103,
East Asia,,1884,93308902,,335346098,
East Asia,,1885,94032446,,336134554,
East Asia,,1886,94895214,,336695786,
East Asia,,1887,95604941,,337463058,
East Asia,,1888,98748970,,335939031,
East Asia,,1889,102256260,,334109740,
East Asia,,1890,105947725,,332052275,
East Asia,,1891,106027424,,334301576,
East Asia,,1892,106565869,,336103131,
East Asia,,1893,106852599,,338178401,
East Asia,,1894,107755156,,339682844,
East Asia,,1895,108110759,,341820241,
East Asia,,1896,108006238,,344372763,
East Asia,,1897,108380588,,346483411,
East Asia,,1898,109940968,,347471032,
East Asia,,1899,109558326,,350436674,
East Asia,,1900,110149984,,352401016,
East Asia,,1901,109687795,,355790205,
East Asia,,1902,108453492,,359987508,
East Asia,,1903,108221343,,363141657,
East Asia,,1904,107483910,,366788090,
East Asia,,1905,106528788,,370607212,
East Asia,,1906,106881083,,373036917,
East Asia,,1907,106368652,,376403348,
East Asia,,1908,105573333,,380168667,
East Asia,,1909,104674722,,384101277,
East Asia,,1910,103945135,,387928864,
East Asia,,1911,104195523,,393290477,
East Asia,,1912,110715766,,392462234,
East Asia,,1913,117132648,,391797352,
East Asia,,1914,117593716,,397247284,
East Asia,,1915,119928819,,400818181,
East Asia,,1916,122623216,,404081784,
East Asia,,1917,124263258,,408413742,
East Asia,,1918,125512668,,412994332,
East Asia,,1919,128229467,,416108533,
East Asia,,1920,127154062,,423257939,
East Asia,,1921,129112777,,424051223,
East Asia,,1922,128483981,,427513020,
East Asia,,1923,128655170,,430209830,
East Asia,,1924,128997165,,432764834,
East Asia,,1925,129525871,,435237129,
East Asia,,1926,129691549,,438120450,
East Asia,,1927,130003254,,440864745,
East Asia,,1928,131270566,,442669434,
East Asia,,1929,131364654,,445621346,
East Asia,,1930,130618807,,449520193,
East Asia,,1931,131227883,,454032117,
East Asia,,1932,135712604,,454721396,
East Asia,,1933,124310890,,471303110,
East Asia,,1934,125817305,,473844695,
East Asia,,1935,135575049,,468379951,
East Asia,,1936,144062730,,463873270,
East Asia,,1937,141862524,,470502475,
East Asia,,1938,140459458,,475742542,
East Asia,,1939,141886780,,478125220,
East Asia,,1940,142621420,,481154580,
East Asia,,1941,141310671,,486634329,
East Asia,,1942,139382179,,492855821,
East Asia,,1943,138059229,,498419771,
East Asia,,1944,134563610,,506162389,
East Asia,,1945,113618861,,530276139,
East Asia,,1946,113037285,,536080715,
East Asia,,1947,115716877,,538369123,
East Asia,,1948,116807361,,542771640,
East Asia,,1949,112318710,,552867290,
East Asia,,1950,118435351,,553170970,
East Asia,,1951,141675228,,542079854,
East Asia,,1952,162909464,,533729185,
East Asia,,1953,189854097,,520720228,
East Asia,,1954,188153905,,538082903,
East Asia,,1955,208984201,,532718631,
East Asia,,1956,240134461,,516572751,
East Asia,,1957,256253848,,518528159,
East Asia,,1958,272682516,,520209739,
East Asia,,1959,277138723,,531090421,
East Asia,,1960,274945765,,536853794,
East Asia,,1961,247382171,,560189797,
East Asia,,1962,278405682,,537165432,
East Asia,,1963,269088175,,565705856,
East Asia,,1964,273937701,,579568654,
East Asia,,1965,277070509,,595931314,
East Asia,,1966,304912502,,590805859,
East Asia,,1967,308622437,,608777492,
East Asia,,1968,304667680,,635475658,
East Asia,,1969,329105350,,635258799,
East Asia,,1970,352637035,,636766424,
East Asia,,1971,375406390,,639669366,
East Asia,,1972,395336715,,643617752,
East Asia,,1973,415921524,,645833205,
East Asia,,1974,426372140,,656660042,
East Asia,,1975,446009460,,655846628,
East Asia,,1976,489999873,,628757873,
East Asia,,1977,539206953,,594774161,
East Asia,,1978,541575815,,607547965,
East Asia,,1979,580823278,,583460955,
East Asia,,1980,634336835,,544483072,
East Asia,,1981,610759825,,582870271,
East Asia,,1982,634675628,,567496048,
East Asia,,1983,668624502,,558615754,
East Asia,,1984,691461617,,551250485,
East Asia,,1985,711008478,,547696195,
East Asia,,1986,707121156,,569105642,
East Asia,,1987,700829124,,594308317,
East Asia,,1988,692735955,,621609375,
East Asia,,1989,763758713,,569221343,
East Asia,,1990,857918748,,493164622,
East Asia,,1991,780302096,,587981049,
East Asia,,1992,765170608,,618916736,
East Asia,,1993,680918566,,718203188,
East Asia,,1994,615058520,,798855753,
East Asia,,1995,580965522,,847298179,
East Asia,,1996,747766999,,694446983,
East Asia,,1997,875135566,,580701653,
East Asia,,1998,892825515,,575856619,
East Asia,,1999,927027851,,553446708,
East Asia,,2000,1053706556,,437766689,
East Asia,,2001,1108688018,,393115444,
East Asia,,2002,1143144580,,368132498,
East Asia,,2003,1180826210,,339201345,
East Asia,,2004,1112493886,,415878387,
East Asia,,2005,1214379039,,322138719,
East Asia,,2006,1222340641,,321944169,
East Asia,,2007,1269135501,,282527075,
East Asia,,2008,1268487747,,290523817,
East Asia,,2009,1299580821,,266514567,
East Asia,,2010,1308985972,,263814465,
East Asia,,2011,1342755382,,236572515,
East Asia,,2012,1355042969,,230788546,
East Asia,,2013,1410043177,,182193570,
East Asia,,2014,1455922574,,142604313,
East Asia,,2015,1497472777,,107375546,
East Asia,,2016,1520861985,,90157905,
East Asia,,2017,1570602111,,90016988,
East Asia,,2018,1585269252,,82065570,
Eastern Europe and former USSR,,1820,7964129,,84036528,
Eastern Europe and former USSR,,1821,8603122,,84302293,
Eastern Europe and former USSR,,1822,9272918,,84537255,
Eastern Europe and former USSR,,1823,10046961,,84668038,
Eastern Europe and former USSR,,1824,10775040,,84843709,
Eastern Europe and former USSR,,1825,11259174,,85265333,
Eastern Europe and former USSR,,1826,11572585,,85857675,
Eastern Europe and former USSR,,1827,12389203,,85945815,
Eastern Europe and former USSR,,1828,13366572,,85872204,
Eastern Europe and former USSR,,1829,14048682,,86092843,
Eastern Europe and former USSR,,1830,13847215,,87200138,
Eastern Europe and former USSR,,1831,13478092,,88475018,
Eastern Europe and former USSR,,1832,13417732,,89439136,
Eastern Europe and former USSR,,1833,13544322,,90217305,
Eastern Europe and former USSR,,1834,13965965,,90700419,
Eastern Europe and former USSR,,1835,13818083,,91755124,
Eastern Europe and former USSR,,1836,13873418,,92603539,
Eastern Europe and former USSR,,1837,14591546,,92790168,
Eastern Europe and former USSR,,1838,14777602,,93508870,
Eastern Europe and former USSR,,1839,14667185,,94523045,
Eastern Europe and former USSR,,1840,14551633,,95544354,
Eastern Europe and former USSR,,1841,15347685,,95651052,
Eastern Europe and former USSR,,1842,15321298,,96583267,
Eastern Europe and former USSR,,1843,15422932,,97385390,
Eastern Europe and former USSR,,1844,15699804,,98013276,
Eastern Europe and former USSR,,1845,16544836,,98075001,
Eastern Europe and former USSR,,1846,17138461,,98386130,
Eastern Europe and former USSR,,1847,17791527,,98639892,
Eastern Europe and former USSR,,1848,18138408,,99194760,
Eastern Europe and former USSR,,1849,18432873,,99805053,
Eastern Europe and former USSR,,1850,19514940,,99627744,
Eastern Europe and former USSR,,1851,21803568,,98555880,
Eastern Europe and former USSR,,1852,23019608,,98556536,
Eastern Europe and former USSR,,1853,25047726,,97746179,
Eastern Europe and former USSR,,1854,26348364,,97662237,
Eastern Europe and former USSR,,1855,27782262,,97446103,
Eastern Europe and former USSR,,1856,27974599,,98473535,
Eastern Europe and former USSR,,1857,29181007,,98482822,
Eastern Europe and former USSR,,1858,31450813,,97428782,
Eastern Europe and former USSR,,1859,33809250,,96287039,
Eastern Europe and former USSR,,1860,36154771,,95159284,
Eastern Europe and former USSR,,1861,37597957,,94933859,
Eastern Europe and former USSR,,1862,37564005,,96184505,
Eastern Europe and former USSR,,1863,39815436,,95148841,
Eastern Europe and former USSR,,1864,41724287,,94457680,
Eastern Europe and former USSR,,1865,38333553,,99066187,
Eastern Europe and former USSR,,1866,39163425,,99454080,
Eastern Europe and former USSR,,1867,42712761,,97121440,
Eastern Europe and former USSR,,1868,45533452,,95516513,
Eastern Europe and former USSR,,1869,44033280,,98235376,
Eastern Europe and former USSR,,1870,45210718,,98274704,
Eastern Europe and former USSR,,1871,46893732,,98180449,
Eastern Europe and former USSR,,1872,48480268,,98181662,
Eastern Europe and former USSR,,1873,51194584,,97056105,
Eastern Europe and former USSR,,1874,52724581,,97114858,
Eastern Europe and former USSR,,1875,56033130,,95395068,
Eastern Europe and former USSR,,1876,57414197,,95599693,
Eastern Europe and former USSR,,1877,59504797,,95097844,
Eastern Europe and former USSR,,1878,61840334,,94351066,
Eastern Europe and former USSR,,1879,63911701,,93866450,
Eastern Europe and former USSR,,1880,70728005,,88639904,
Eastern Europe and former USSR,,1881,66835097,,94122569,
Eastern Europe and former USSR,,1882,73776290,,88983128,
Eastern Europe and former USSR,,1883,74344360,,90220816,
Eastern Europe and former USSR,,1884,73020822,,93347105,
Eastern Europe and former USSR,,1885,78557419,,89614200,
Eastern Europe and former USSR,,1886,78778923,,91196455,
Eastern Europe and former USSR,,1887,86361767,,85419360,
Eastern Europe and former USSR,,1888,86251244,,87334642,
Eastern Europe and former USSR,,1889,84332408,,91039229,
Eastern Europe and former USSR,,1890,84604341,,90710384,
Eastern Europe and former USSR,,1891,81877298,,95337519,
Eastern Europe and former USSR,,1892,87724052,,91390504,
Eastern Europe and former USSR,,1893,94398902,,86768744,
Eastern Europe and former USSR,,1894,101998476,,81221910,
Eastern Europe and former USSR,,1895,99516675,,85755802,
Eastern Europe and former USSR,,1896,105395334,,81931238,
Eastern Europe and former USSR,,1897,104385525,,84994788,
Eastern Europe and former USSR,,1898,108246422,,83186981,
Eastern Europe and former USSR,,1899,109497835,,83986308,
Eastern Europe and former USSR,,1900,112188583,,83349650,
Eastern Europe and former USSR,,1901,115500668,,83120532,
Eastern Europe and former USSR,,1902,121092636,,80612530,
Eastern Europe and former USSR,,1903,119664462,,85124010,
Eastern Europe and former USSR,,1904,124219823,,83652607,
Eastern Europe and former USSR,,1905,122786469,,88167928,
Eastern Europe and former USSR,,1906,122811736,,91314627,
Eastern Europe and former USSR,,1907,120638837,,96660492,
Eastern Europe and former USSR,,1908,127831491,,92641143,
Eastern Europe and former USSR,,1909,131559108,,92085492,
Eastern Europe and former USSR,,1910,139036873,,87778686,
Eastern Europe and former USSR,,1911,136169230,,93766375,
Eastern Europe and former USSR,,1912,142253736,,90803570,
Eastern Europe and former USSR,,1913,146735210,,89442143,
Eastern Europe and former USSR,,1914,141707874,,93822152,
Eastern Europe and former USSR,,1915,141936500,,92947190,
Eastern Europe and former USSR,,1916,133890822,,100344540,
Eastern Europe and former USSR,,1917,124921597,,108665086,
Eastern Europe and former USSR,,1918,95164295,,137775062,
Eastern Europe and former USSR,,1919,86315116,,145977906,
Eastern Europe and former USSR,,1920,85353376,,146292318,
Eastern Europe and former USSR,,1921,82755967,,147991623,
Eastern Europe and former USSR,,1922,91522461,,140116071,
Eastern Europe and former USSR,,1923,101446850,,132179854,
Eastern Europe and former USSR,,1924,117217377,,120053150,
Eastern Europe and former USSR,,1925,134424052,,107412706,
Eastern Europe and former USSR,,1926,144653774,,101949519,
Eastern Europe and former USSR,,1927,149641577,,101455501,
Eastern Europe and former USSR,,1928,155543109,,99713595,
Eastern Europe and former USSR,,1929,159125633,,99874723,
Eastern Europe and former USSR,,1930,163940297,,98253473,
Eastern Europe and former USSR,,1931,166533996,,98535419,
Eastern Europe and former USSR,,1932,165178547,,101764166,
Eastern Europe and former USSR,,1933,169189325,,99362189,
Eastern Europe and former USSR,,1934,175664815,,94926252,
Eastern Europe and former USSR,,1935,186386181,,86309827,
Eastern Europe and former USSR,,1936,194396642,,81092572,
Eastern Europe and former USSR,,1937,204066803,,75446925,
Eastern Europe and former USSR,,1938,208020682,,76350977,
Eastern Europe and former USSR,,1939,215125186,,74051888,
Eastern Europe and former USSR,,1940,214552982,,77288970,
Eastern Europe and former USSR,,1941,210146737,,76930087,
Eastern Europe and former USSR,,1942,205011215,,77452334,
Eastern Europe and former USSR,,1943,202487996,,75334412,
Eastern Europe and former USSR,,1944,194558174,,78832371,
Eastern Europe and former USSR,,1945,184215087,,83607922,
Eastern Europe and former USSR,,1946,179657850,,82360486,
Eastern Europe and former USSR,,1947,187886265,,73268601,
Eastern Europe and former USSR,,1948,206969595,,56141627,
Eastern Europe and former USSR,,1949,213341757,,53206436,
Eastern Europe and former USSR,,1950,217447080,,50822838,
Eastern Europe and former USSR,,1951,224635113,,47824258,
Eastern Europe and former USSR,,1952,230357159,,46405575,
Eastern Europe and former USSR,,1953,237390263,,43757446,
Eastern Europe and former USSR,,1954,243794375,,41839335,
Eastern Europe and former USSR,,1955,253963715,,36502920,
Eastern Europe and former USSR,,1956,261180537,,34050519,
Eastern Europe and former USSR,,1957,266345816,,33462113,
Eastern Europe and former USSR,,1958,273908583,,30606305,
Eastern Europe and former USSR,,1959,279262731,,30057407,
Eastern Europe and former USSR,,1960,288173860,,26047068,
Eastern Europe and former USSR,,1961,295579558,,23528471,
Eastern Europe and former USSR,,1962,300928003,,22682929,
Eastern Europe and former USSR,,1963,304929153,,22935876,
Eastern Europe and former USSR,,1964,314315286,,17525668,
Eastern Europe and former USSR,,1965,319145021,,16326102,
Eastern Europe and former USSR,,1966,325456969,,13436127,
Eastern Europe and former USSR,,1967,330230070,,11922083,
Eastern Europe and former USSR,,1968,334820790,,10743957,
Eastern Europe and former USSR,,1969,339574496,,9084233,
Eastern Europe and former USSR,,1970,344146255,,7551329,
Eastern Europe and former USSR,,1971,347902814,,7048224,
Eastern Europe and former USSR,,1972,350416790,,7837122,
Eastern Europe and former USSR,,1973,354270476,,7192550,
Eastern Europe and former USSR,,1974,357014917,,7818081,
Eastern Europe and former USSR,,1975,359730828,,8516092,
Eastern Europe and former USSR,,1976,362396717,,9213139,
Eastern Europe and former USSR,,1977,365034931,,9909750,
Eastern Europe and former USSR,,1978,367501768,,10614888,
Eastern Europe and former USSR,,1979,369894838,,11320653,
Eastern Europe and former USSR,,1980,372105242,,12039422,
Eastern Europe and former USSR,,1981,383395118,,3630561,
Eastern Europe and former USSR,,1982,384136140,,5883166,
Eastern Europe and former USSR,,1983,387355633,,5621392,
Eastern Europe and former USSR,,1984,390147324,,5984217,
Eastern Europe and former USSR,,1985,390112293,,9120676,
Eastern Europe and former USSR,,1986,397748247,,4538742,
Eastern Europe and former USSR,,1987,401172671,,4044597,
Eastern Europe and former USSR,,1988,404328692,,3438151,
Eastern Europe and former USSR,,1989,405241708,,4298618,
Eastern Europe and former USSR,,1990,409123292,,2832954,
Eastern Europe and former USSR,,1991,410472469,,2953147,
Eastern Europe and former USSR,,1992,380723991,,33290035,
Eastern Europe and former USSR,,1993,353611990,,60256411,
Eastern Europe and former USSR,,1994,367941886,,45779087,
Eastern Europe and former USSR,,1995,352248818,,61282255,
Eastern Europe and former USSR,,1996,353813313,,59456362,
Eastern Europe and former USSR,,1997,370950779,,41918133,
Eastern Europe and former USSR,,1998,367222939,,45190231,
Eastern Europe and former USSR,,1999,351050732,,60813493,
Eastern Europe and former USSR,,2000,356604880,,54460121,
Eastern Europe and former USSR,,2001,375302203,,34869796,
Eastern Europe and former USSR,,2002,384462735,,24847267,
Eastern Europe and former USSR,,2003,380662961,,27788042,
Eastern Europe and former USSR,,2004,384446845,,23361147,
Eastern Europe and former USSR,,2005,387100875,,20140129,
Eastern Europe and former USSR,,2006,392037229,,14797778,
Eastern Europe and former USSR,,2007,391963278,,14839733,
Eastern Europe and former USSR,,2008,395603064,,11526923,
Eastern Europe and former USSR,,2009,398084208,,9595782,
Eastern Europe and former USSR,,2010,397770393,,10421608,
Eastern Europe and former USSR,,2011,398535523,,10053473,
Eastern Europe and former USSR,,2012,398935088,,10127919,
Eastern Europe and former USSR,,2013,399614223,,9875791,
Eastern Europe and former USSR,,2014,399964190,,9565816,
Eastern Europe and former USSR,,2015,399715140,,9736875,
Eastern Europe and former USSR,,2016,401220867,,9102112,
Eastern Europe and former USSR,,2017,404297641,,9373750,
Eastern Europe and former USSR,,2018,405504706,,9061431,
Latin America and Caribbean,,1820,3013571,,17690429,
Latin America and Caribbean,,1821,3028841,,18001159,
Latin America and Caribbean,,1822,3077703,,18275297,
Latin America and Caribbean,,1823,3129251,,18548749,
Latin America and Caribbean,,1824,3173919,,18831081,
Latin America and Caribbean,,1825,3243429,,19087571,
Latin America and Caribbean,,1826,3294714,,19360286,
Latin America and Caribbean,,1827,3362549,,19620450,
Latin America and Caribbean,,1828,3415637,,19890362,
Latin America and Caribbean,,1829,3472747,,20162253,
Latin America and Caribbean,,1830,3528897,,20433103,
Latin America and Caribbean,,1831,3578361,,20710639,
Latin America and Caribbean,,1832,3652419,,20964581,
Latin America and Caribbean,,1833,3713941,,21230059,
Latin America and Caribbean,,1834,3777479,,21495521,
Latin America and Caribbean,,1835,3835405,,21764595,
Latin America and Caribbean,,1836,3880450,,22049549,
Latin America and Caribbean,,1837,3941311,,22317690,
Latin America and Caribbean,,1838,3977758,,22608242,
Latin America and Caribbean,,1839,4011404,,22902596,
Latin America and Caribbean,,1840,4081527,,23161472,
Latin America and Caribbean,,1841,4168578,,23406422,
Latin America and Caribbean,,1842,4237012,,23664988,
Latin America and Caribbean,,1843,4268869,,23958131,
Latin America and Caribbean,,1844,4317638,,24241362,
Latin America and Caribbean,,1845,4399247,,24488752,
Latin America and Caribbean,,1846,4449186,,24765814,
Latin America and Caribbean,,1847,4529196,,25012803,
Latin America and Caribbean,,1848,4610564,,25265436,
Latin America and Caribbean,,1849,4678670,,25526330,
Latin America and Caribbean,,1850,4812228,,25858773,
Latin America and Caribbean,,1851,5055535,,26027465,
Latin America and Caribbean,,1852,5048997,,26448002,
Latin America and Caribbean,,1853,5068224,,26843776,
Latin America and Caribbean,,1854,5113682,,27208317,
Latin America and Caribbean,,1855,5247493,,27490507,
Latin America and Caribbean,,1856,5284036,,27866964,
Latin America and Caribbean,,1857,5596701,,27968299,
Latin America and Caribbean,,1858,5758357,,28223643,
Latin America and Caribbean,,1859,5806398,,28587601,
Latin America and Caribbean,,1860,5962117,,28848883,
Latin America and Caribbean,,1861,6058762,,29169238,
Latin America and Caribbean,,1862,6032143,,29609857,
Latin America and Caribbean,,1863,6270808,,29791192,
Latin America and Caribbean,,1864,6431218,,30046782,
Latin America and Caribbean,,1865,6776014,,30120986,
Latin America and Caribbean,,1866,7056936,,30260064,
Latin America and Caribbean,,1867,7407338,,30324662,
Latin America and Caribbean,,1868,7575412,,30578588,
Latin America and Caribbean,,1869,7874910,,30699091,
Latin America and Caribbean,,1870,7889187,,31133812,
Latin America and Caribbean,,1871,8116607,,31525393,
Latin America and Caribbean,,1872,8605638,,31662362,
Latin America and Caribbean,,1873,8712889,,32191111,
Latin America and Caribbean,,1874,9052364,,32491635,
Latin America and Caribbean,,1875,9287329,,32904671,
Latin America and Caribbean,,1876,9489010,,33360990,
Latin America and Caribbean,,1877,9517829,,33997172,
Latin America and Caribbean,,1878,9680236,,34507764,
Latin America and Caribbean,,1879,9974220,,34889780,
Latin America and Caribbean,,1880,9949673,,35597327,
Latin America and Caribbean,,1881,10243111,,35996888,
Latin America and Caribbean,,1882,10870729,,36069271,
Latin America and Caribbean,,1883,11087862,,36561138,
Latin America and Caribbean,,1884,11833467,,36532533,
Latin America and Caribbean,,1885,11710018,,37374982,
Latin America and Caribbean,,1886,12310967,,37487034,
Latin America and Caribbean,,1887,12363784,,38156216,
Latin America and Caribbean,,1888,12733638,,38528362,
Latin America and Caribbean,,1889,13047724,,38957276,
Latin America and Caribbean,,1890,13863700,,38895300,
Latin America and Caribbean,,1891,14389956,,39271044,
Latin America and Caribbean,,1892,14103454,,40471546,
Latin America and Caribbean,,1893,13907491,,41589510,
Latin America and Caribbean,,1894,14288910,,42149089,
Latin America and Caribbean,,1895,15700074,,41711927,
Latin America and Caribbean,,1896,15397800,,42978200,
Latin America and Caribbean,,1897,15665991,,43743009,
Latin America and Caribbean,,1898,16530150,,43928850,
Latin America and Caribbean,,1899,16436947,,45078052,
Latin America and Caribbean,,1900,16327401,,46334599,
Latin America and Caribbean,,1901,17423485,,46406515,
Latin America and Caribbean,,1902,17360900,,47631100,
Latin America and Caribbean,,1903,18359043,,47810957,
Latin America and Caribbean,,1904,19001325,,48374675,
Latin America and Caribbean,,1905,19858301,,48720699,
Latin America and Caribbean,,1906,20706198,,49088802,
Latin America and Caribbean,,1907,21435382,,49622618,
Latin America and Caribbean,,1908,21873523,,50463477,
Latin America and Caribbean,,1909,23144457,,50512544,
Latin America and Caribbean,,1910,23854756,,50991245,
Latin America and Caribbean,,1911,24448625,,51788375,
Latin America and Caribbean,,1912,25023577,,52454422,
Latin America and Caribbean,,1913,24651823,,54096177,
Latin America and Caribbean,,1914,24258323,,55789678,
Latin America and Caribbean,,1915,24678952,,56611048,
Latin America and Caribbean,,1916,26727994,,55785006,
Latin America and Caribbean,,1917,28155954,,55598045,
Latin America and Caribbean,,1918,28309286,,56702714,
Latin America and Caribbean,,1919,30330524,,55978477,
Latin America and Caribbean,,1920,34570568,,53991433,
Latin America and Caribbean,,1921,31528524,,58436476,
Latin America and Caribbean,,1922,33478209,,58252791,
Latin America and Caribbean,,1923,39742763,,53832237,
Latin America and Caribbean,,1924,39154909,,56309091,
Latin America and Caribbean,,1925,41467162,,55878838,
Latin America and Caribbean,,1926,39963457,,59301544,
Latin America and Caribbean,,1927,40928079,,60241921,
Latin America and Caribbean,,1928,45276525,,57879474,
Latin America and Caribbean,,1929,45624819,,59494181,
Latin America and Caribbean,,1930,44959671,,62120329,
Latin America and Caribbean,,1931,43094160,,65986840,
Latin America and Caribbean,,1932,43165946,,67891054,
